City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
533,Wattegama,LK,75.2,few clouds,6.7989,81.4808,
534,Quatre Cocos,MU,77.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
535,Corpus Christi,US,77.0,broken clouds,27.8006,-97.3964,Holiday Inn Corpus Christi Downtown Marina
537,Carutapera,BR,75.87,overcast clouds,-1.195,-46.02,Lidera
539,Sulangan,PH,80.98,broken clouds,11.1373,123.7228,Maia's Beach Resort
542,Khammam,IN,78.06,scattered clouds,17.25,80.15,Hotel Vishnu Residency
543,Boa Vista,BR,78.8,light rain,2.8197,-60.6733,Aipana Plaza Hotel
546,Salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
548,Buala,SB,85.35,light rain,-8.145,159.5921,Maringe Lagoon Lodge
555,Pacific Grove,US,75.99,clear sky,36.6177,-121.9166,Lovers Point Inn
562,Tanete,ID,81.25,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
563,The Valley,AI,78.8,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
564,Catumbela,AO,77.41,broken clouds,-12.4314,13.5472,Hotel Do Kamgamba
568,Barra Patuca,HN,79.38,clear sky,15.8,-84.2833,
570,Biak,ID,81.19,broken clouds,-0.9131,122.8766,Penginapan Kim
571,Akyab,MM,80.49,overcast clouds,20.15,92.9,Hotel Memory
578,Daru,PG,76.82,moderate rain,-9.0763,143.2092,Daru Lodge
579,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
580,Kalmunai,LK,78.08,overcast clouds,7.4167,81.8167,VS Villa
581,Casas Grandes,MX,77.0,clear sky,30.3667,-107.95,Pueblo del Soul B&B
595,Buluang,PH,81.07,overcast clouds,13.3068,123.3425,Enon Beach Resort
598,Quang Ngai,VN,76.51,broken clouds,15.1167,108.8,Central Hotel
601,Qandala,SO,82.04,overcast clouds,11.472,49.8728,
603,Vung Tau,VN,80.4,overcast clouds,10.346,107.0843,Green hotel
604,San Nicolas,PH,80.6,scattered clouds,18.1725,120.5953,NORTHVIEW Hotel
606,Mana,GF,77.22,broken clouds,5.6592,-53.7767,LE SAMANA
607,Acarau,BR,78.15,broken clouds,-2.8856,-40.12,castelo pizzaria
611,Pochutla,MX,84.99,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
614,Sandakan,MY,80.6,scattered clouds,5.8402,118.1179,Hotel Sandakan
615,Batticaloa,LK,78.24,overcast clouds,7.7102,81.6924,Grand Star Guest House
616,Sinnamary,GF,77.25,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
618,Diamantino,BR,75.9,few clouds,-14.4086,-56.4461,Hotel Delta
619,Buctzotz,MX,82.2,broken clouds,21.2,-88.7833,OYO Hotel Tapia
623,Mackay,AU,77.0,broken clouds,-21.15,149.2,International Lodge Motel
625,Zaraza,VE,81.36,overcast clouds,9.3503,-65.3245,Hotel Zaraza
626,Pare,ID,77.36,overcast clouds,-7.7679,112.198,Hotel Kediri 1
631,Apatlaco,MX,89.6,clear sky,18.7833,-98.95,Quinta de la Rosa
632,Ortega,CO,78.96,overcast clouds,3.9361,-75.2217,Hotel Gilmart
635,Puerto Escondido,MX,84.2,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
637,Garissa,KE,80.62,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
647,Pemangkat,ID,77.95,broken clouds,1.1667,108.9667,Kost H.Syamsuddin
651,Minbu,MM,76.32,few clouds,20.1833,94.8833,Kaung Thar Guest House - Burmese Only
655,Barddhaman,IN,77.83,clear sky,23.25,87.85,"Sinclairs Tourist Resort, Burdwan"
660,Keti Bandar,PK,78.19,scattered clouds,24.1447,67.4497,Haji laloo memon house
664,San Andres,CO,82.4,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
667,Ponerihouen,NC,83.05,overcast clouds,-21.0833,165.4,Camping de Tiakan
686,Bartica,GY,77.0,clear sky,6.4,-58.6167,Relax Inn Hotel
687,Kuala Terengganu,MY,75.2,moderate rain,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
692,Atar,MR,82.02,scattered clouds,20.5169,-13.0499,Oumou Elghoura
701,Palu,ID,81.07,broken clouds,-0.8917,119.8707,Hotel Santika Palu
704,Bubaque,GW,76.01,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
712,Mahajanga,MG,78.8,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
