City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
60,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,20,16.11,few clouds,2021-04-04 23:15:39
61,Klaksvik,FO,62.2266,-6.589,26.6,54,75,41.43,light snow,2021-04-04 23:15:39
62,Husavik,IS,66.0449,-17.3389,17.6,62,90,10.36,light snow,2021-04-04 23:15:40
63,Pimenta Bueno,BR,-11.6725,-61.1936,74.35,96,100,0.67,moderate rain,2021-04-04 23:15:40
64,Lavrentiya,RU,65.5833,-171.0,3.18,72,20,6.42,few clouds,2021-04-04 23:15:41
65,Amahai,ID,-3.3333,128.9167,81.03,77,84,3.89,broken clouds,2021-04-04 23:15:41
66,Tiksi,RU,71.6872,128.8694,-13.07,99,100,3.83,overcast clouds,2021-04-04 23:15:42
67,Agua Preta,BR,-8.7075,-35.5306,74.26,91,28,3.44,scattered clouds,2021-04-04 23:15:43
68,Qaanaaq,GL,77.484,-69.3632,-13.05,60,26,7.14,scattered clouds,2021-04-04 23:15:43
69,Nhulunbuy,AU,-12.2333,136.7667,84.2,70,90,1.14,overcast clouds,2021-04-04 23:15:44
70,Sumoto,JP,34.35,134.9,55.0,76,75,21.85,broken clouds,2021-04-04 23:15:44
71,Luang Prabang,LA,19.8856,102.1347,70.75,97,100,1.01,overcast clouds,2021-04-04 23:15:45
72,Port Alfred,ZA,-33.5906,26.891,68.79,78,71,11.95,broken clouds,2021-04-04 23:15:45
73,Esperance,AU,-33.8667,121.9,62.6,88,40,10.36,scattered clouds,2021-04-04 23:15:45
74,Ushuaia,AR,-54.8,-68.3,42.8,81,75,5.75,light intensity drizzle,2021-04-04 23:14:35
75,Sungaipenuh,ID,-2.0833,101.3833,62.83,91,96,1.54,overcast clouds,2021-04-04 23:15:46
76,Araouane,ML,18.9048,-3.5265,83.01,7,68,2.19,broken clouds,2021-04-04 23:15:46
77,Agadez,NE,19.75,10.25,73.69,10,81,5.68,broken clouds,2021-04-04 23:15:47
78,Busselton,AU,-33.65,115.3333,59.0,95,11,1.01,few clouds,2021-04-04 23:15:47
79,San Patricio,US,28.017,-97.5169,77.0,53,1,18.41,clear sky,2021-04-04 23:15:48
80,Mugur-Aksy,RU,50.35,90.5,15.39,49,0,5.08,clear sky,2021-04-04 23:15:48
81,Kavaratti,IN,10.5669,72.642,82.04,70,55,13.2,broken clouds,2021-04-04 23:15:48
82,Hermanus,ZA,-34.4187,19.2345,64.0,90,98,1.01,overcast clouds,2021-04-04 23:13:14
83,Jieshi,CN,22.8134,115.8257,73.0,79,100,20.0,overcast clouds,2021-04-04 23:15:49
84,Kodiak,US,57.79,-152.4072,50.0,53,40,12.66,scattered clouds,2021-04-04 23:15:49
85,Axim,GH,4.8699,-2.2405,79.18,88,42,6.06,light rain,2021-04-04 23:15:50
86,Honiara,SB,-9.4333,159.95,86.11,69,31,2.68,scattered clouds,2021-04-04 23:15:50
87,Port Elizabeth,ZA,-33.918,25.5701,68.0,77,90,10.36,overcast clouds,2021-04-04 23:12:26
88,Marinette,US,45.1,-87.6307,55.4,43,1,9.22,clear sky,2021-04-04 23:15:51
89,Chuy,UY,-33.6971,-53.4616,68.14,87,10,11.59,clear sky,2021-04-04 23:15:52
90,Leningradskiy,RU,69.3833,178.4167,5.16,85,99,3.51,overcast clouds,2021-04-04 23:15:53
91,Tasiilaq,GL,65.6145,-37.6368,19.4,86,90,21.85,light snow,2021-04-04 23:15:53
92,Saint-Philippe,RE,-21.3585,55.7679,78.8,73,0,4.61,clear sky,2021-04-04 23:15:53
93,Sturgeon Falls,CA,46.3646,-79.9326,51.8,32,1,8.05,clear sky,2021-04-04 23:15:54
94,Geraldton,AU,-28.7667,114.6,68.0,88,56,5.75,broken clouds,2021-04-04 23:15:55
95,Hithadhoo,MV,-0.6,73.0833,83.05,76,60,17.96,broken clouds,2021-04-04 23:15:45
96,Cape Town,ZA,-33.9258,18.4232,64.99,88,0,10.36,clear sky,2021-04-04 23:13:39
97,Arkhangelsk,RU,64.5401,40.5433,33.8,93,90,6.71,light rain and snow,2021-04-04 23:15:55
98,San Quintin,MX,30.4833,-115.95,67.46,59,39,18.07,scattered clouds,2021-04-04 23:11:30
99,Lampang,TH,18.3333,99.5,75.99,94,75,2.77,moderate rain,2021-04-04 23:15:56
100,Saint George,US,37.1041,-113.5841,88.0,7,1,9.22,clear sky,2021-04-04 23:12:45
101,Georgetown,MY,5.4112,100.3354,82.0,89,20,4.88,few clouds,2021-04-04 23:15:10
102,Lorengau,PG,-2.0226,147.2712,81.34,80,100,4.43,overcast clouds,2021-04-04 23:15:57
103,Lebedinyy,RU,58.5167,125.5167,8.64,93,100,4.21,overcast clouds,2021-04-04 23:15:57
104,Dengzhou,CN,37.8086,120.7508,45.68,56,1,8.79,clear sky,2021-04-04 23:15:58
105,Avarua,CK,-21.2078,-159.775,86.0,74,40,19.57,scattered clouds,2021-04-04 23:15:58
106,Thompson,CA,55.7435,-97.8558,44.6,26,75,6.91,broken clouds,2021-04-04 23:15:59
107,East London,ZA,-33.0153,27.9116,67.05,70,8,12.5,clear sky,2021-04-04 23:12:17
108,Linxia,CN,35.6003,103.2064,38.12,78,47,3.29,scattered clouds,2021-04-04 23:16:00
109,Inverell,AU,-29.7833,151.1167,72.0,72,100,4.0,overcast clouds,2021-04-04 23:16:00
110,Avera,US,33.194,-82.5271,71.6,20,1,5.75,clear sky,2021-04-04 23:16:01
111,La Ronge,CA,55.1001,-105.2842,44.6,45,100,13.8,overcast clouds,2021-04-04 23:16:01
